,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,condemn,condemned,,"To condemn means to pronounce judgement against someone, sometimes ordering officials to punish them. Judges condemn criminals, God condemns angels and humans who sin and do not repent. ","bless, curse",,,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
t,confess,"confessed, confesses, confessing","tell (G); accept (W)
",To confess is to say what God has said about something. To confess sins is to admit that we have done something God forbids. To confess Christ is to say we believe what God has said about him.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Corinth,Corinthians,,Corinth was a large market city in the country called Greece.  It was a very pagan city full of people who woshipped many idols. Paul started new Christian churches at Corinth and wrote letters to the Corinthians (Acts 18).,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Cornelius,,,"Cornelius was a Roman military officer who prayed to the Lord. The Lord sent an angel to him telling him to send for Peter. When Cornelius's household and friends heard Peter tell about Jesus, they became the first non-jewish or gentile Christians. (The name Cornelius means Horn.)",,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,country,"countries, nation, nations","earth / land (G); 
",A country is a very wide land where people make homes and may also have a government. A county may also be called a nation.,"kingdom, empire, province, land",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t 107,covenant,testament,"promising a thing with mouths together (promising each other something) (D);
strong promise;
agreement (W); agreement (tying) (R); 
my new words about what I am going to do (G) (Heb 8:8);
binding talk (PNG);
","Covenants are solemn agreements between two persons or groups who promise to help each other. God made covenants with several men and with Israel. God promised to bless the Israelites, if they obeyed his laws. Jesus has made a ‘new’ covenant to give life to all who obey his commandments.","promise,
oath, agreement, alliance",binding tok (other language),Jesus' commandments include saving faith.,,,,,,,,,,,,,,,,,,,,,,,,
t 100,create,"created, creates","cause-be/sit (R); 
make (G);
",Create means to make something new. God created the world and all living things. God creates us new when we trust in Jesus. God will one day create a new heaven and a new earth.,"carve, build,
",,,,,,,,,,,,,,,,,,,,,,,,,,
t,cross,crosses,the wood;  tree cross (K); boards that they cross (W);,"Wooden crosses were a tool for torturing and killing violent criminals. The Romans would nail or tie a man's hands and feet to an upright wooden post with a wooden cross beam, then leave him to die. After Jesus died on a cross because of our sins, God forgives us who believe. (Jesus' cross also reminds us that we may have to suffer because of our faith in him.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,curse,"curses, cursed, ","say really bad things to/about (G);speak bad about (R); (strong) anger of God (R); cause harm; punish;
","To curse is to pronounce/speak harm towards someone else. God has cursed all who choose to do evil. God also cursed innocent Jesus, so that he can forgive us and cancel God's curse.","bless, condemn","maybe rather than condemn, it would be 'punish, cause harm'",,,,,,,,,,,,,,,,,,,,,,,,,
t,curtain,,,"Curtains are large cloths, suspended from their top edge, that cover windows, close doorways, or divide rooms in a house.",,,material' can be anything. Cloth seems more specific. Opening also seems a bit general.,,,,,,,,,,,,,,,,,,,,,,,,
n,Damascus,,,"Damascus, north-east of Israel, is one of the oldest cities in the world.  It remains the capital city of the nation of Syria. Jesus appeared to a man named Saul near Damascus. Saul became the apostle named Paul. ",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Daniel,,,"Daniel was a young man when the Babylonians destroyed Jerusalem, taking many Jews captive to Babylon. Daniel, a captive, obeyed God all his life, remaining an honest official, despite living and working in a pagan king's palace. God showed to Daniel the meaning of dreams, and revealed to him the future of nations.  (The name Daniel means ""God is my judge"".)",,,Jesus called Daniel a prophet (Mt 24:15) but the book of Daniel is not classed with the prophets but as a writing.,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Darius,,,"Darius was the 4th king of the Persian Empire, 550–486 BC. He conquered Babylon in 539 BC during the lifetime of Daniel. (The name Darius means He holds goodness.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,David,King David,Dawuda (W from Arabic),"David, the second king of Israel, lived about 800 years before Jesus. He was a shepherd boy who gained a reputation as a valliant warrior. He also made music and songs, some of which have become psalms in the Bible. David remained faithful to God all his life, and God promised to him that his sons would rule over Israel forever.  Jesus is a descendant (a son) of King David. (The name David means Beloved.)",king,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,death,"die, dead, dying, died",,"There are several kinds of death: (1) physical death, when our spirit leaves our body, (2) eternal death, called 'second death,' going to Hell instead of to Heaven forever, (3) spiritual death, not having God's life and Holy Spirit, (Because Adam sinned, we all were born spiritually dead and need to be 'born again.') and (4) refusing to do wrong, called 'dying to self,' with help from God's Holy Spirit. ","blood, sacrifice",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Deborah,,,"Deborah was an Israelite prophetess (female prophet) during the years of the Judges. Through her, the Lord ordered Barak to go to battle against the army of Canaanite King Jabin. (The name Deborah means ""bee"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Deborah,,,"There were two women named Deborah: (1) Rebeckah's nurse who died near Bethel, and (2) a leader of the Israelites who led them to victory over their enemies. (The name Deborah means Promise.)",,,-4,,,,,,,,,,,,,,,,,,,,,,,,
t,decree,decrees,,A decree is a formal law that a king pronounces. Everyone must obey their king's decrees.,"law, command",,,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Delilah,,,Delilah was the Philistine woman who Samson married. (The name Delilah means delightful.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Demetrius,,,There were two men named Demetrius. (1) One was a sliversmith in the city of Ephesus who worsipped a goddess called Artemis. He brought charges against Paul in a city court. (2) The other was a Christian who had a good reputation (3 John 1).,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,demon,"evil spirit, demons, evil spirits, devil, demonized","spirit rebellious to God; 
evil creature (W);
bad spirit (G);demon (R);","Demons are spirits that have rebelled against God their Creator. They can inhabit and exercise power over human beings who disobey God, who serve other gods, or who choose to do evil. Satan is the chief demon.  Jesus has given  power to his followers to cast out demons / evil spirits.","angel, Satan",,Demons are never said to be fallen angels (messengers). The Rabbis taught that demons are the disembodied souls of the biblical Nephelim. Local cultures have their own beliefs about evil spirits.,,,,,,,,,,,,,,,,,,,,,,,,
n,Diana,,,"Diana is the name of a Greek goddess (idol) worshipped by people in the city of Ephesus, among others.",idol,,,,,,,,,,,,,,,,,,,,,,,,,,
t,disciple,disciples,"learner; student (lit. child of learning) (R); 
ones in training (apprentice);
ones I (Jesus) teach (G);
student (but not like in a classroom);
Christian;
ones who follow /obey Jesus; ",Disciples are those who follow a teacher's instructions. Jesus had many disciples. He commanded his disciples to go make other disciples of Jesus in every country by baptizing them and teaching them to obey his commandments.,"apostle, Christian",,"GC: Longer notes contain a lot of fascinating information, yet do not necessarily help translators find an appropriate term to employ. ",,,,,,,,,,,,,,,,,,,,,,,,
t,donkey,donkeys,"horse-pig/animal; dongki (R)
small horse; pack-animal (W); animal (called) donki","Donkeys are animals like small horses, upon which people can ride. Donkeys also carry loads and pull a plow.",,other language: animal (called) donki (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,doubt,disbelieve,"believe weakly (G); waver (W);
","Doubt means not to be sure about something, or not to believe somethng that does not seem to be true. To doubt God's promises means not to believe what he has said or revealed.  To doubt means to be suspicious or skeptical about the truth or reliability of something.","faith, believe, ",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,dragon,dragons,large lizard; big snake (K); draagon (R);,"Dragons are giant serpents or lizards. God's enemy Satan is called a dragon, because he is strong, frightening, destructive and evil. Satan took the form of a dragon (serpent) when he misled the first humans to disobey God. In the Book of Revelation a dragon is used as a symbol or picture of Satan.",snake,,Dragons of various sizes certainly do live on earth.,,,,,,,,,,,,,,,,,,,,,,,,
t,dream,dreams,"dream (G);
",Dreams are what one sees and hears while asleep. God or angels sometimes spoke to persons in dreams. God allowed Joseph and Daniel to tell the meaning of some dreams that were mysterious to those who saw them.,vision,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,earth,,"land;
this ground;
ground (G);","Earth means (1) the land or ground upon which we humans dwell, (2) everything below the sky, (3) dirt or soil, and (4) the underground abode of the dead.  ","world, heaven",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Eden,,,"Eden was the name of a lovely place, a very large beautiful garden, where God used to meet with other spirits and with the first human beings, before Adam and Eve sinned against God. ",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Edom,,,"Edom was a country where the descendents of Esau settled, eastwards from Israel. Edomites worshpped false gods and became enemies of Israel. Edom means ""red"".",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Egypt ,"Egyptians, Egyptian",Misra (W from Arabic),Egypt is a country to the west of Israel. The Israelites dwelt four hundred years in Egypt where they became slaves. Egypt ruled over the land of Isreal for hundreds of years.,,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,elder,elders,"older men (G); leaders (W)
","Elders are older people whom others respect and obey. Elders often meet as a council that decides important matters. Churches have elders who are called overseers and servants, or pastors and deacons.",leader,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Elemilek,Elemilech,,Elemilech was Naomi's husband. He ws an Israelite who migrated to the country of Moab where he died. (The name Elimelech means My God is King.),,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Eli,,,"Eli was a priest in the Israelite worship tent at Shloh. It was he that reared the child Samuel who became a prophet. (The name Eli means ""My God"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Eli,,,"Eli was a priest of the LORD at Shiloh, before Israel had a temple. He raised the prophet Samuel from a young boy to adulthood, although his own sons were dishonest. (The name Eli means My God.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Elijah,,Ilyass (W),"Elijah lived around 800 years before Jesus. He was a  prophet of God, who boldly rebuked an evil king and all who worshipped idols in Israel. (The Book of Malachi says Elijah must return to prepare  Israel to welcome the coming Messiah appeared.) (John the Baptizer was like Elijah in many ways.) (The name Elijah means the Lord is God.)",Elisha,Arabic ref.,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Elisha,,Alyaasa (W),Elisha lived around 800 years before Jesus. He was a prophet of God appointed by the prophet Elijah. Elisha performed more miracles than did Elijah.,Elijah,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Elkanah,,,"There were several men named Elkanah. One Elkanah was the husband to Hannah and father of the prophet Samuel. (The name Elkanah means ""God created"".)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,emperor,emperors,,"An Emperor was the king or highest ruler of an empire, ruling over lesser kings. Some counties considered their emperor to be divine, or a god.","king, pharaoh, ceasar",,,,,,,,,,,,,,,,,,,,,,,,,,
t,empire,"kingdom, ","all divisions of his land (G); 
","An empire is an extensive group of multiple cities, states and/or nations over which one supreme ruler (an emperor) has authority.  Babylon and Assyria and Rome were examples of empires in Bible times.","nation, country, region, emperor",,"GC 08-Feb-19
RR updated",,,,,,,,,,,,,,,,,,,,,,,,
n,Ephesus,Ephesians,,Ephesus was a big city near the sea in Asia Minor where Paul started new churches. He later wrote a letter to the Ephesians. Jesus also wrote a letter to the Ephesians via John in the Revelation.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Ephraim,,,Ephraim was the younger of Joseph's two sons. Ephraim became an ancestor of a tribe of Israel. (The name Ephraim means Fruitful.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Epicureans ,Epicurean,,The Epicureans followed the teachings of the philosopher Epicurus who lived around 300 years before Jesus. He taught that people should seek happiness in life while avoiding pain and fear.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Esau,,Esawu (W),"Esau lived around 1900 years before Jesus. Abraham's son Isaac had twin sons named Esau and Jacob. Esau, who was the firstborn, foolishly sold his birthright to his brother Jacob. (Jacob's sons became the Israelites, and Esau's sons the Edomites.)",Edom,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Esther,,,"Esther was a Jewish orphan reared by her cousin Mordecai. After Persian king Xerses made Esther his new queen, she saved many Jews from death. (The name Esther means Star. Her Jewish name Hadassah means Myrtle Wood.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,eunuch,eunuchs,"castrated; man (R); 
unmarried man, caused to be that way (G); 
chamberlain (W);",A eunuch was a man who had been castrated / immassculated. Pagan nations practiced this kind of mutilation at times on slaves or those to be trained for certain kinds of work such as official government service. It was not a Jewish custom since God's law forbids making men eunichs.,servant,"take this out:  (Christian ministers who do not get married may be called eunuchs.) Other language examples to euphemistic, better to say: castrated. Chamberlain unknown in PNG. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
n,Eve,,Awa (W from Arabic),"Eve lived about 4000 years before Jesus. Eve was the wife of Adam, the first mother of al human beings. When Satan tempted Adam and Eve, they disobeyed God. Since then, all human beings have also been sinning and must die.",Adam,Arabic ref.,"The Bible clearly teaches universal death as a result of our first parents' sin, but not some kind of transmitted sin.",,,,,,,,,,,,,,,,,,,,,,,,
t,evil,"wicked, sinful, wickedness",,Evil things are everything that God forbids; evil people are those who disobey God's laws; evil spirits are invisible beings that cause people to thnk about evil and to do evil actions.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,faith,"believe, believing, believes, believed, belief, trust","saying yes (to someone or something; agreeing; accepting; trusting as true);
trust; belief (R); belief (W); heart/liver (inner being) hangs on something (PNG)","Faith means (1) to believe truth, (2) to trust in God or Christ, and (3) to remain loyal to Jesus. Under both the Old and New Covenants (Testaments), God counts as righteous those who put their faith in him and his promises.","trust, doubt,
disbelieve",other language: heart/liver (inner being) hangs on smg,"Both the Hebrew 'amn and the Greek pistis include both belief and loyalty, according to their context.",,,,,,,,,,,,,,,,,,,,,,,,
t,fast,,fast (R); ,"To fast means not to eat for a time. Jews used to fast as a sign of repentance, sorrow, or humility before God. Christians sometimes fast as a form of prayer towards God.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,feast,"festival, feasts, festivals, feasted","a magnification (W);  remember (W); 
big meal / food; big day of worship (K); feast (R); 
big dance (festival) / big eating (feast) (G);
","Feasts are special meals with much good food and drinks.  Usually a feast is served for a special occaision.  The Israelites had Feasts for yearly celebrations, when families come together to remember God’s goodness. Israelites had to keep certain feasts at Jerusalem. ",festival,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Feast of Dedication,"Hannukah, Feast of Lights","purification (W); feast when they remembered the day when they opened the house of giving (R); 
a big day of worship so that they would remember the day when they opened the house of giving (K)
","In the year 165 before Jesus, the Israelites (Jews) captured their temple back from their enemies, dedicating it again to God. Jews celebrate this yearly feast, calling it Hannukah, and  the ""Festival of Lights.""",,other language: why house of giving? (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,feast of Pentecost,Pentecost,day of Pentikos (R); ,"Pentecost means fifty. This harvest festival comes in the month of May, 50 days after the yearly Passover feast. It was on Pentecost, in the year 33, that the Holy Spirit first came down upon all who believed in Jesus.",,,"Astronomy-based calendars, along with better documentary studies, now situate the birth of Jesus around 2 BCE, and his ministry beteen 29 and 33 CE. If this causes indigestion, then remove the date reference.",,,,,,,,,,,,,,,,,,,,,,,,
t,feast of Shelters,"feast of tabernacles, feast of tents",day of worship of the Jews which they call the feast of shelters (R); big days of worship of shelters (K); big day for worship called feast of tents,"At the yearly Feast of Shelters in October or November, Jews rejoice because the harvest has been completed. They stay in temporary shelters for one week, to honour their ancestors who dwelt forty years in shelters while wandering in a wilderness.",,"tabernacle is too techincal, better to say tent  or garden shelter, in Pidgin haus win Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,Feast of the Passover,Passover,feast of go past (R); big day of worship of Go Past (K); ,"During the yearly feast of Passover in March or April, Jews remember how their ancestors escaped from slavery in the country of Egypt. At that time God warned that he would send his angel to kill the eldest son of every house in Egypt, except where they would kill a lamb and smear its blood on their front door post. Here the angel passed over without harming anyone.",Feast of Unleavened Bread,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Feast of Unleavened Bread,Unleavened Bread,feast of bread no yeast in it (R); big day of worship of bread no yeast in it (K); ,"The yearly feast of Unleavened Bread lasts for the seven days following the Festival of the Passover. During these seven days, the Jews eat bread with no yeast in it, to remember how their ancestors  escaped from Egypt (so fast that they had no time to wait to bake yeast bread).",Passover,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Felix,,,"Felix was the Roman governor over Judea between the years 52 and 60. A dishonest man, he kept Paul in prison at Cesaria for two years. He once became alarmed when he heard Paul explain about God's judgement.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,festival,"feast, festivals, feasts",,"Festivals are special days when people remember their past or honor God. People may eat a meal together as part of a feast. Israel has seven annual feasts, including the Feast of Passover.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Festus,,,"Festus replaced Felix as Roman governor over Judea in the year 62. He left Paul in prison at Cesaria, until he sent Paul to Rome to be judged by Caesar, the Roman emperor.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,fig,figs,fig (R); ,Fig is a kind of fruit tree. Its fruit is very sweet.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,fool,"foolish, fools, fooled","the one who doesn't really know things (G); 
","A fool is anyone who makes poor/stupid/bad choices, even when others warn him. God want fools to repent, to learn wisdom and to obey him. The book of Proverbs often contrasts foolish people and wise people.",wise,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,forgive,"forgiven, forgives, forgiveness",erase (R); put arm around their shoulders (S-I);,"To forgive is to choose not to punish those who have sinned or disobeyed. When forgiven, those who did wrong no longer have guilt or shame for what they had done.","guilt, shame, cleanse, sanctify",,,,,,,,,,,,,,,,,,,,,,,,,,
t,form,"formed, forms",,"To form something means (1) to change its shape to look like something else (e.g. clay can be formed to look like an image of something), or (2) to bring people together in a new group.","carve,
 build,
",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,fox,foxes,fox (G); ,"A fox is a wild animal like a small dog with beautiful fur, a bushy tail, sharp teeth and non-retractible claws.  Foxes hunt with stealth like a cat and eat smaller animals like rats, mice, snakes and rabbits.  Some cultures use the fox in a metaphorical way to describe attributes like beauty, cunning, wise or tricky.  For example, if a woman is beautiful, she might be called a fox.  King Herod was called a fox, meaning Herod was wiley or dangerously tricky.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,frankincense,,"sticky substance whose smoke smells good (R); 
 powder cooked/burned and its smoke smells good and it is called insens (K)","Frankincense is good smelling powder made of sap of a tree. When it is burned, it makes a sweet smell. Because the Jews had to bring it from a distance, it was expensive.",incense,good smelling powder made of sap of a tree (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,furnace,kiln,fire (W);,"A furnace is place or large box in which one burns wood or another fuel to produce high heat, like a kiln for curing bricks or pottery.  (The Babylonians disposed of dead bodies by cremation, by burning them in a furnace.) (Craftsmen used furnaces to purify metals such as silver or gold.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Gadarene,Gadarenes,,Garadene was a region near the Lake Galilee where there were many Gentile people who ate pig meat.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Galilee,,,Galilee was a region or province in the northern part of Israel around a very large lake called the Sea of Galilee. It has many fish.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Gehazi,,,Gehazi was a servant of the prophet Elisha. He once sinned by asking for a gift from a Syrian offcial whom Elisha had healed of leprosy.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,gentile,gentiles,"who is not a Jew (W); 
people who are not Jews (R); ","Gentiles are all groups and individuals who are  neither Israelites nor Jews. In Jesus' time, most Gentiles worshipped false gods and idols. (Before Jesus returned to heaven, he commanded his apostles to go make disciples for him amongst all the Gentile nations.)
Sometimes, the term gentile is used in a generic sense in the New Testament to refer to a category of people who do not believe or belong to God.","Jew, Hebrews","can be translated also with their nationality, e.g. Kenan/Greek… (Hilkka)","I am not aware of a figurative use of the term Gentile in the NT.         RR:  Perhaps generic sense is better than figurative.  Gentile is used for the category of ""sinner"" or unbeliever (even though all ethnic Gentiles are not unbelievers), as Jew is sometimes used in a generic sense for the category of ""belonging to God"" or ""believer"" (even though all ethnic Jews do not believe) e.g. Rev 2:9; 3:9
GC: Good!",,,,,,,,,,,,,,,,,,,,,,,,
n,Gibea,"Gibeon, Gibeonites",,Gibea was a pagan city in Canaan when Joshua and the Israelites were conquering the land. (The Gibeonites deceived Joshua to make a peace pact with them.),,,Let the Bible tell the story.,07 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Gibea,"Gibeon, Gibeonites",,"The Gibeonites were Canaanites from Gibea town who pretended to be from outside of Canaan, in order to make peace with Joshua and his army. Because the Israelists forgot to ask God, they were deceived by the Gibeonites and made peace with them, even though they really were Canaanites.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gideon,,,"Gideon lived around 1200 years before Jesus. He was a farmer who became a leader or judge over the Israelites, after he led a small army against a big enemy army. (God frightened the big army so that it fled away.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,glory,"glorified, glorify","light;
greatness;
praise (give glory to God);
strength and/or beauty (G);
allah (W); decoration/beauty (R);","Glory means (1) great power, (2) bright light, (3) beauty and (4) the presence of God.",,References to Allah/islam not helpful in PNG ,,,,,,,,,,,,,,,,,,,,,,,,,
t,goat,goats,deer-like animal with long hair (G); ,"Goats are gentle animals whose meat and milk people eat. Goats often dwell in same herds with sheep. Sheep tails hang downwards, whilst goat tails curl upwards. Adult male goats, called rams, will fight using their horns, and are a symbol for nations that go to war.","sheep, shepherd",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,God,Eternal God,"eternal one;
Creator; 
the God who lives / has lived forever (G); God (R); Allah (W);","God is the One Great, Eternal Spirit who created everything and all living creatures. God rules over heaven and earth. He has commanded everyone to abandon their gods and to worship only him. (There is no other god as great as he.) (This One Great God came into the world as a human being, Jesus the Messiah.)","Lord, idol, gods",Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,gold,golden,,Gold and silver are shiny metals that many countries use as money and use to make jewelry. The Israelite Ark of the Covenant was covered with shiny gold. Gold is mined from the earth.  To purify it requires heating it with a very hot fire until it melts and the dirt can be separated from it.,"silver, ",,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gomorrah,,,"Gomorrah was a city near Sodom where Abraham's nephew Lot chose to live. The population was so evil, that God destroyed it with fire that fell from the sky (around 2000 years before Jesus lived).",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,good,,"good (G);
","People call ""good"" anything and anyone that they evaluate to be right, true, honest, kind or useful. To be ""just"" or ""right"" means to have a good standing with God or to follow his laws.","right, just",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,gospel,good news,"Good Report (W);
beautiful speech (G);good telling (R); 
 good talk (K);","Gospel means Good News. It is the message (from Jesus’ apostles) that God forgives the sins and gives eternal life to all who repent and put their faith in Jesus, who died on a cross, was buried, rose three days after, and appeared to many eye-witnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,governor,,"ruling person (of a region);
chief (of the people in a country) (G);big leader from the government (R); kilifa (W from Arabic)",Governors are officials who rule over a region or part of a nation. Only a king has more power.,"king, leader
",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,grace,gracious,"forgive; make good;
coming/falling onto (to help/aid/show mercy to someone);
and nobody pays for it (W);
pity and patience (for people) (G);love/pity (K); like (K)
","Grace is the love that God has for us humans, by which he forgives us, rescues us from harm, helps us lead a better life, gives us power to serve him, and will bring us into his eternal kingdom.","forgive, mercy, love","also, make good (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,grapes,grape,wine seeds (R); ,"Grapes are a kind of fruit that grow on a vine, not a tree. Their juice is used to make wine. (The Jews used to plant many vines on their farms and cultivate them so that they would bear plenty of fruit.)","grapevine, wine",reseng not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,Greece,Greek,,"Greece is a country in Europe. Athens and Corinth cities are in Greece. Around 350 years before Jesus, Greece conquered Israel and many other countries. Most of those countries began speaking and reading the Greek language. The New Testament books are written in Greek. Greek was language of scholars, not ordinary people's mother tongue",,"Greek was language of scholars, not ordinary people's mother tongue (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,guilt,guilty,"the condition of having done something bad (G); 
that deseriving death (W);","Guilt means someone has violated or broken a law. A guilty person is someone who has broken a law. All humans become guilty before God when they begin to break his laws. All guilty people must be punished.  The consequence of guilt is punishment.  Usually, a person who is guilty will feel shame.","forgive, shame, sanctify","this is an exception, very strong: that deserving death (W); (Hilkka)",GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Hagar,,,"Hagar lived around 2000 years ago. She was a slave girl in the house of Sarah, Abraham's wife. At the time when Sarah had not yet borne a child, she asked Abraham to lie with Hagar, and Hagar bore a child who was named Ishmael. (But Ishmael was not the child whom God had promised to give to Abraham with Sarah. Twelve years later, Sarah bore a son with Abraham who named him Isaac. Isaac is the son whom God had promised.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hail,,ice stones; frozen rain stones,Hail consists of frozen chunks of water (ice) that fall from the sky like rain; hard frozen rain.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Haman,,,"Haman was a descendent of pagan king Agag who hated Israel. When Persian King Xerxes made him an official, Haman set about to kill Mordecai and all Jews in the Persian Empire.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Hannah,,,"Hannah was a co-wife of Elkanah. She had no child until she prayed to the Lord at Shiloh. She bore a son named Samuel who became a prophet over Israel. (The name Hannah means ""grace"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Hanun,,,An Ammonite King who shamed David's ambassadors.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Haran,,,There were several men and a city named Haran. One Haran was a brother of Abraham and father of Lot..  The city called Haran was where Abram's father died.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,heaven,"heavens, sky","the Above;
sky;
way up high (G); heaven (R); ","Heaven means everything that is above the ground or earth, including the air, the clouds, the sky, God’s unseen city, and all creatures that dwell there. ",earth,try to separate heaven and sky; asaman not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hebrews,"Hebrews, Jew, Jews, Jewish, Israelites","Jew-people; Jew-talk;
","Hebrew means Abraham’s descendants (the twelve tribes) and their language, whom God chose to be his special nation. The Hebrews later were called Israelites (after God changed Jacob's name to Israel) and still later Jews (because many Israelites lived in Judah/Jewdah).","gentile, Israelite, Jew",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hebron,,,There were two towns (cities) named Hebron. Abraham and Jacob worshipped God near Hebron in Canaan. King David often went to Hebron in Judah.,,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,herd,herds,,"A herd is a group of animals, especially domesticated (non wild) animals with hoofs that people (shepherds) keep together and look after as livestock to support themselves.",shepherd; livestock,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hermes,,,"Hermes, who is also called Mercury, was a Greek and Roman god that, pagans believed, served as a messenger for other gods.",,,,,,,,,,,,,,,,,,,,,,,,,,,
